id_odd,time_casa,time_fora,dia_jogo,hora_jogo,mult_vitoria_time_1,mult_vitoria_time_2,num_apostas,data_jogo,data_extracao
196,Vasco,Juventude,sáb.,18:00,2.1,3.6,443,2025-11-08 18:00:00,2025-11-07
197,Internacional,Bahia,sáb.,18:30,1.08,9.5,388,2025-11-08 18:30:00,2025-11-07
198,São Paulo,Bragantino,sáb.,21:00,6.25,4.7,416,2025-11-08 21:00:00,2025-11-07
199,Corinthians,Ceará,dom.,16:00,6.25,4.7,339,2025-11-09 16:00:00,2025-11-07
200,Cruzeiro,Fluminense,dom.,16:00,1.21,5.75,322,2025-11-09 16:00:00,2025-11-07
201,Vitória,Botafogo,dom.,16:00,1.57,3.95,308,2025-11-09 16:00:00,2025-11-07
202,Flamengo,Santos,dom.,18:30,6.0,5.4,329,2025-11-09 18:30:00,2025-11-07
203,Fortaleza,Grêmio,dom.,20:30,7.5,5.5,335,2025-11-09 20:30:00,2025-11-07
204,Mirassol,Palmeiras,dom.,20:30,1.79,3.8,344,2025-11-09 20:30:00,2025-11-07
205,Atlético-MG,Juventude,ter.,21:30,2.7,3.25,410,2025-09-30 21:30:00,2025-09-30
206,Mirassol,Bragantino,qua.,19:00,3.35,3.55,376,2025-10-01 19:00:00,2025-09-30
207,Palmeiras,Vasco,qua.,19:00,1.06,10.0,445,2025-10-01 19:00:00,2025-09-30
208,Sport,Fluminense,qua.,19:00,16.0,8.5,389,2025-10-01 19:00:00,2025-09-30
209,Internacional,Corinthians,qua.,19:30,1.28,5.0,370,2025-10-01 19:30:00,2025-09-30
210,Botafogo,Bahia,qua.,21:30,1.21,5.75,368,2025-10-01 21:30:00,2025-09-30
211,Santos,Grêmio,qua.,21:30,1.26,5.1,374,2025-10-01 21:30:00,2025-09-30
212,Vitória,Ceará,qui.,19:00,1.33,4.5,281,2025-10-02 19:00:00,2025-09-30
213,Fortaleza,São Paulo,qui.,19:30,1.13,7.5,282,2025-10-02 19:30:00,2025-09-30
214,Flamengo,Cruzeiro,qui.,20:30,1.14,6.75,301,2025-10-02 20:30:00,2025-09-30
215,Bragantino,Grêmio,sáb.,18:30,4.3,3.85,273,2025-10-04 18:30:00,2025-09-30
216,Fluminense,Atlético-MG,sáb.,18:30,1.18,6.0,326,2025-10-04 18:30:00,2025-09-30
217,Internacional,Botafogo,sáb.,18:30,5.4,4.1,284,2025-10-04 18:30:00,2025-09-30
218,Corinthians,Mirassol,sáb.,21:00,4.1,3.6,263,2025-10-04 21:00:00,2025-09-30
219,São Paulo,Palmeiras,dom.,16:00,1.5,3.9,304,2025-10-05 16:00:00,2025-09-30
220,Vasco,Vitória,dom.,16:00,1.19,5.8,285,2025-10-05 16:00:00,2025-09-30
221,Bahia,Flamengo,dom.,18:30,1.91,3.55,302,2025-10-05 18:30:00,2025-09-30
222,Juventude,Fortaleza,dom.,18:30,5.5,4.1,277,2025-10-05 18:30:00,2025-09-30
223,Ceará,Santos,dom.,20:30,4.6,3.6,266,2025-10-05 20:30:00,2025-09-30
224,Cruzeiro,Sport,dom.,20:30,13.0,9.5,287,2025-10-05 20:30:00,2025-09-30
225,Bahia,Internacional,qua.,19:00,1.33,3.05,437,2025-10-22 19:00:00,2025-10-22
226,Atlético-MG,Ceará,sáb.,16:00,1.35,3.0,342,2025-10-25 16:00:00,2025-10-22
227,Vitória,Corinthians,sáb.,16:00,1.94,1.79,331,2025-10-25 16:00:00,2025-10-22
228,Fluminense,Internacional,sáb.,17:30,1.45,2.6,336,2025-10-25 17:30:00,2025-10-22
229,Sport,Mirassol,sáb.,18:30,1.88,1.84,311,2025-10-25 18:30:00,2025-10-22
230,Fortaleza,Flamengo,sáb.,19:30,3.6,1.25,296,2025-10-25 19:30:00,2025-10-22
231,São Paulo,Bahia,sáb.,21:30,1.43,2.65,325,2025-10-25 21:30:00,2025-10-22
232,Botafogo,Santos,dom.,16:00,1.3,3.2,307,2025-10-26 16:00:00,2025-10-22
233,Grêmio,Juventude,dom.,16:00,1.21,4.0,339,2025-10-26 16:00:00,2025-10-22
234,Bragantino,Vasco,dom.,18:30,1.66,2.1,328,2025-10-26 18:30:00,2025-10-22
235,Palmeiras,Cruzeiro,dom.,20:30,1.23,3.8,342,2025-10-26 20:30:00,2025-10-22
236,Fluminense,Ceará,29 de out.,19:00,1.22,3.85,343,2025-10-29 19:00:00,2025-10-22
237,Cruzeiro,Vitória,1 de nov.,16:00,1.13,5.2,324,2025-11-01 16:00:00,2025-10-22
238,Santos,Fortaleza,1 de nov.,16:00,1.33,3.1,308,2025-11-01 16:00:00,2025-10-22
239,Mirassol,Botafogo,1 de nov.,18:00,1.58,2.25,307,2025-11-01 18:00:00,2025-10-22
240,Flamengo,Sport,1 de nov.,21:00,1.04,10.0,336,2025-11-01 21:00:00,2025-10-22
241,Bahia,Bragantino,2 de nov.,16:00,1.29,3.3,330,2025-11-02 16:00:00,2025-10-22
242,Ceará,Fluminense,2 de nov.,16:00,1.83,1.89,346,2025-11-02 16:00:00,2025-10-22
243,Corinthians,Grêmio,2 de nov.,16:00,1.32,3.15,333,2025-11-02 16:00:00,2025-10-22
244,Internacional,Atlético-MG,2 de nov.,18:30,1.37,2.9,320,2025-11-02 18:30:00,2025-10-22
245,Juventude,Palmeiras,2 de nov.,18:30,5.3,1.12,361,2025-11-02 18:30:00,2025-10-22
246,Vasco,São Paulo,2 de nov.,20:30,1.53,2.38,322,2025-11-02 20:30:00,2025-10-22
247,Palmeiras,Bragantino,qua.,19:00,1.09,6.25,420,2025-10-15 19:00:00,2025-10-14
248,Botafogo,Flamengo,qua.,19:30,2.48,1.49,403,2025-10-15 19:30:00,2025-10-14
249,Mirassol,Internacional,qua.,20:00,1.54,2.35,370,2025-10-15 20:00:00,2025-10-14
250,Sport,Ceará,qua.,20:00,1.64,2.15,388,2025-10-15 20:00:00,2025-10-14
251,Atlético-MG,Cruzeiro,qua.,21:30,1.95,1.78,413,2025-10-15 21:30:00,2025-10-14
252,Fortaleza,Vasco,qua.,21:30,1.57,2.28,384,2025-10-15 21:30:00,2025-10-14
253,Santos,Corinthians,qua.,21:30,1.53,2.38,370,2025-10-15 21:30:00,2025-10-14
254,Grêmio,São Paulo,qui.,19:00,1.95,1.78,299,2025-10-16 19:00:00,2025-10-14
255,Fluminense,Juventude,qui.,21:30,1.09,6.25,365,2025-10-16 21:30:00,2025-10-14
256,Vitória,Bahia,qui.,21:30,2.0,1.73,312,2025-10-16 21:30:00,2025-10-14
257,Corinthians,Atlético-MG,sáb.,18:30,1.43,2.65,327,2025-10-18 18:30:00,2025-10-14
258,Internacional,Sport,sáb.,18:30,1.2,4.1,310,2025-10-18 18:30:00,2025-10-14
